ngram,document_count,high_score_presence_rate,low_score_presence_rate,presence_rate_difference,chi2_score,chi2_p_value,mean_score_when_present,association
experience years,29578,0.3461011634624092,0.14229262082305108,0.20380854263935813,5146.733909770523,0.0,46.40623520860169,higher_score
experience years jobdescription,29578,0.3461011634624092,0.14229262082305108,0.20380854263935813,5146.733909770523,0.0,46.40623520860169,higher_score
jobtitle hiring,5721,0.08979288720192156,0.004629553082786313,0.08516333411913525,4646.1060272711275,0.0,51.81517042475083,higher_score
experience fresher,2222,0.036141595841239556,0.000529091780889866,0.03561250406034969,2091.783447033795,0.0,52.87725022502228,higher_score
experience experienced,2363,0.03757735786780933,0.001421934161141517,0.036155423706667814,2027.3976662047849,0.0,51.9124883622511,higher_score
experience fresher jobdescription,1949,0.031784800726131275,0.00038028471751459125,0.031404516008616684,1854.5054895433025,0.0,53.18042842483304,higher_score
fresher jobdescription,1949,0.031784800726131275,0.00038028471751459125,0.031404516008616684,1854.5054895433025,0.0,53.18042842483304,higher_score
engineer experience years,12464,0.1420909315950282,0.06372249136091891,0.07836844023410929,1805.8460306415755,0.0,45.57179677471165,higher_score
developer experience years,7928,0.09296146546745619,0.03794580116069499,0.0550156643067612,1399.1517960860451,3.2117786437855765e-306,46.11141902119089,higher_score
design architecture,49209,0.3405726545095186,0.4724128238623408,-0.13184016935282217,1294.5138993249068,1.7596660196896198e-283,37.343616614846944,lower_score
monitor production,49193,0.3446158924004386,0.4680974190244513,-0.12348152662401268,1135.9426994490534,5.093980775669109e-249,37.522033012826874,lower_score
monitor production systems,49193,0.3446158924004386,0.4680974190244513,-0.12348152662401268,1135.9426994490534,5.093980775669109e-249,37.522033012826874,lower_score
production systems,49193,0.3446158924004386,0.4680974190244513,-0.12348152662401268,1135.9426994490534,5.093980775669109e-249,37.522033012826874,lower_score
experience experienced jobdescription,1139,0.01874742140440574,4.960235445842496e-05,0.018697819049947315,1124.900044690473,1.2795487120678296e-246,52.7253116769096,higher_score
experienced jobdescription,1139,0.01874742140440574,4.960235445842496e-05,0.018697819049947315,1124.900044690473,1.2795487120678296e-246,52.7253116769096,higher_score
automate workflows,23093,0.14908820859807795,0.23245316711029995,-0.083364958512222,1102.9160943485867,7.675188576704851e-242,37.07150759970769,lower_score
perform code,23102,0.14920372968067547,0.23248623534660556,-0.0832825056659301,1100.3066546623213,2.8329252853697978e-241,37.123072244829494,lower_score
perform code reviews,23102,0.14920372968067547,0.23248623534660556,-0.0832825056659301,1100.3066546623213,2.8329252853697978e-241,37.123072244829494,lower_score
technical issues,22652,0.14613416948594138,0.2281212281542649,-0.08198705866832351,1087.5264099682745,1.6980963989112022e-238,37.071066572489975,lower_score
troubleshoot technical,22652,0.14613416948594138,0.2281212281542649,-0.08198705866832351,1087.5264099682745,1.6980963989112022e-238,37.071066572489975,lower_score
troubleshoot technical issues,22652,0.14613416948594138,0.2281212281542649,-0.08198705866832351,1087.5264099682745,1.6980963989112022e-238,37.071066572489975,lower_score
analyze business requirements,43575,0.3034903869956525,0.41641176567869426,-0.11292137868304175,1072.4343132438557,3.237415685122383e-235,37.392720826162176,lower_score
integrate party apis,17879,0.11156035976567247,0.18384285974105152,-0.07228249997537906,1070.9738286649567,6.724098010104652e-235,36.70418871301672,lower_score
party apis,17879,0.11156035976567247,0.18384285974105152,-0.07228249997537906,1070.9738286649567,6.724098010104652e-235,36.70418871301672,lower_score
integrate party,17883,0.11159336578927179,0.18387592797735713,-0.07228256218808535,1070.7361205354205,7.573555498306427e-235,36.70528015433798,lower_score
business requirements,43594,0.3037874412080466,0.4164282997968471,-0.11264085858880046,1066.647543452425,5.860737308386714e-234,37.396865738404756,lower_score
analyze business,43595,0.3038039442198463,0.4164282997968471,-0.11262435557700079,1066.3105572622328,6.937394047177345e-234,37.396257483656775,lower_score
clean maintainable,48959,0.34496245564823175,0.4638812188954788,-0.11891876324724704,1058.5807255954521,3.321122432625938e-232,37.605828039788456,lower_score
clean maintainable code,48959,0.34496245564823175,0.4638812188954788,-0.11891876324724704,1058.5807255954521,3.321122432625938e-232,37.605828039788456,lower_score
maintainable code,48959,0.34496245564823175,0.4638812188954788,-0.11891876324724704,1058.5807255954521,3.321122432625938e-232,37.605828039788456,lower_score
write clean maintainable,48959,0.34496245564823175,0.4638812188954788,-0.11891876324724704,1058.5807255954521,3.321122432625938e-232,37.605828039788456,lower_score
write clean,48979,0.3452925158842252,0.4638812188954788,-0.11858870301125357,1052.2828143304828,7.765192911897573e-231,37.61087884603612,lower_score
applications cloud,49398,0.3485106031851615,0.46758486136171346,-0.11907425817655193,1051.918653337811,9.317594855847166e-231,37.6154789667598,lower_score
deploy applications cloud,49051,0.34606815743880986,0.4642945718492996,-0.11822641441048976,1044.3280045994711,4.160656695614755e-229,37.61233461091523,lower_score
20 years,6633,0.0332040597409014,0.0764041599841208,-0.0432001002432194,1031.134374231875,3.0681589090081115e-226,34.80174807779281,lower_score
20 years jobdescription,6633,0.0332040597409014,0.0764041599841208,-0.0432001002432194,1031.134374231875,3.0681589090081115e-226,34.80174807779281,lower_score
collaborate cross functional,49435,0.34974832907013703,0.4669565648719058,-0.11720823580176876,1018.4447474512392,1.758243283407236e-223,37.66629796702731,lower_score
implement security best,17445,0.10938196220811741,0.17884955605890424,-0.06946759385078682,1013.7930093591659,1.803778485246047e-222,36.67903353396539,lower_score
data engineering,14178,0.08598069147620022,0.1482779715943667,-0.06229728011816649,1003.1802023501264,3.6559952543803865e-220,35.8272132881935,lower_score
implement security,17476,0.10989355557390686,0.17884955605890424,-0.06895600048499738,997.1439190084006,7.500251780977069e-219,36.70619935912257,lower_score
cross functional teams,49506,0.35092004290791384,0.4669565648719058,-0.11603652196399195,996.7524720326655,9.123522872561211e-219,37.68922645739901,lower_score
functional teams,49506,0.35092004290791384,0.4669565648719058,-0.11603652196399195,996.7524720326655,9.123522872561211e-219,37.68922645739901,lower_score
create technical,43451,0.3045960887862306,0.4132537491115031,-0.10865766032527246,995.8104416050255,1.4619306996447527e-218,37.48541633104002,lower_score
create technical documentation,43451,0.3045960887862306,0.4132537491115031,-0.10865766032527246,995.8104416050255,1.4619306996447527e-218,37.48541633104002,lower_score
deploy applications,49233,0.3490221965509514,0.4643441742037581,-0.11532197765280672,989.9736057988802,2.7142731386609113e-217,37.65826193813098,lower_score
security best,17518,0.11035563990429732,0.1790810337130435,-0.06872539380874619,988.1109344891033,6.895021376755437e-217,36.72162861057348,lower_score
security best practices,17518,0.11035563990429732,0.1790810337130435,-0.06872539380874619,988.1109344891033,6.895021376755437e-217,36.72162861057348,lower_score
technical documentation,43476,0.30500866408122246,0.4132537491115031,-0.10824508503028063,987.694293969874,8.493747611185533e-217,37.498339888674664,lower_score
build ci,43755,0.3074676128393738,0.4154031844713714,-0.10793557163199763,975.7920077328345,3.2830332193829584e-214,37.502866986630515,lower_score
build ci cd,43755,0.3074676128393738,0.4154031844713714,-0.10793557163199763,975.7920077328345,3.2830332193829584e-214,37.502866986630515,lower_score
19 years,7100,0.037230794620016626,0.08009126833219644,-0.04286047371217982,948.2248612887016,3.2256344994389795e-208,35.265367605633834,lower_score
19 years jobdescription,7100,0.037230794620016626,0.08009126833219644,-0.04286047371217982,948.2248612887016,3.2256344994389795e-208,35.265367605633834,lower_score
cross functional,49739,0.35458371152744134,0.46713844017158695,-0.11255472864414562,933.4395413371451,5.279732810889308e-205,37.75468907698172,lower_score
jobdescription assist,987,0.015974915422064105,0.00031414824490335805,0.015660767177160747,910.6776257127079,4.684339020988812e-200,52.88915906788243,higher_score
optimize database performance,23195,0.15389058503177483,0.2293282187794197,-0.07543763374764487,899.1610608558602,1.493468668381149e-197,37.395675792199,lower_score
initiatives education,29053,0.2821024837032758,0.19773151898940822,0.08437096471386757,897.9471964074444,2.742054791505635e-197,44.32564829793889,higher_score
database performance,23199,0.1539565970789734,0.2293282187794197,-0.07537162170044628,897.4333561031348,3.546330059238135e-197,37.398938100782615,lower_score
collaborate cross,58177,0.4210248370329264,0.5400869694618876,-0.11906213242896119,893.000586048079,3.261487988045612e-196,38.07377494542453,lower_score
performance lead,29230,0.2833402095882513,0.1994179990409944,0.0839222105472569,883.0407942796261,4.7707550636054515e-194,44.29258073896749,higher_score
optimize performance lead,29209,0.28299364634045815,0.1994179990409944,0.08357564729946376,876.3923181226533,1.3302178355456322e-192,44.288286658222454,higher_score
cloud computing,32247,0.22264213218909856,0.3101139200741287,-0.08747178788503013,869.5657832191588,4.054900275825103e-191,37.35520280956489,lower_score
best practices,17771,0.11436587177161459,0.17924637489457157,-0.06488050312295698,868.1050930341275,8.424211365994932e-191,36.93305300771077,lower_score
develop scalable applications,22815,0.1521082597574131,0.22483093864185658,-0.07272267888444348,849.5227568343363,9.232515698442114e-187,37.543816348895376,lower_score
candidate demonstrate,47303,0.44295733971469237,0.3383211256428624,0.10463621407182999,848.2641315901596,1.7335974387304508e-186,43.24602181679857,higher_score
candidate demonstrate strong,47303,0.44295733971469237,0.3383211256428624,0.10463621407182999,848.2641315901596,1.7335974387304508e-186,43.24602181679857,higher_score
demonstrate strong,47303,0.44295733971469237,0.3383211256428624,0.10463621407182999,848.2641315901596,1.7335974387304508e-186,43.24602181679857,higher_score
ideal candidate,47303,0.44295733971469237,0.3383211256428624,0.10463621407182999,848.2641315901596,1.7335974387304508e-186,43.24602181679857,higher_score
ideal candidate demonstrate,47303,0.44295733971469237,0.3383211256428624,0.10463621407182999,848.2641315901596,1.7335974387304508e-186,43.24602181679857,higher_score
scalable applications,22822,0.15219077481641133,0.2248640068781622,-0.07267323206175086,848.1076933298245,1.8748146985919693e-186,37.546583340638335,lower_score
