ngram,document_count,high_score_presence_rate,low_score_presence_rate,presence_rate_difference,chi2_score,chi2_p_value,mean_score_when_present,association
university certifications aws,44523,0.601584289133153,0.13343033349314729,0.4681539556400057,18040.506553910265,0.0,51.38143566246788,higher_score
xyz university certifications,44523,0.601584289133153,0.13343033349314729,0.4681539556400057,18040.506553910265,0.0,51.38143566246788,higher_score
university certifications,44537,0.6016668041921513,0.13357914055652254,0.4680876636356288,18029.728392086214,0.0,51.37678177695081,higher_score
aws certified,51081,0.6391616470010093,0.204212893305308,0.4349487536957013,13572.89669986266,0.0,49.48955325855161,higher_score
certified scrum master,51044,0.6387655747178171,0.20399794976932153,0.43476762494849563,13571.424864158247,0.0,49.49535440012685,higher_score
best performer,51060,0.6389306048358139,0.20409715447823837,0.4348334503575755,13571.280715423041,0.0,49.49306649040491,higher_score
award best performer,51038,0.6386995626706184,0.20396488153301592,0.4347346811376025,13570.963444387922,0.0,49.49671891531948,higher_score
certified scrum,51048,0.6387985807414165,0.20403101800562715,0.4347675627357893,13570.357555870376,0.0,49.4944566878247,higher_score
achievements innovation,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
achievements innovation excellence,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
architect certified,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
architect certified scrum,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
architected built,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
architected built scalable,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
built scalable platforms,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
developed multiple enterprise,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
enterprise projects architected,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
excellence award best,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
innovation excellence award,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
master projects,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
master projects developed,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
multiple enterprise projects,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
platforms achievements,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
platforms achievements innovation,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
projects architected,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
projects architected built,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
projects developed multiple,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
scalable platforms,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
scalable platforms achievements,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
scrum master projects,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
solutions architect certified,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
years professional summary,51030,0.6385840415880207,0.20394834741486312,0.4346356941731576,13566.910622082672,0.0,49.49685567313493,higher_score
innovation excellence,51034,0.6386170476116201,0.20398141565116873,0.43463563196045135,13565.843376004561,0.0,49.495428733786795,higher_score
developed multiple,51052,0.6387985807414165,0.20409715447823837,0.4347014262631781,13565.166313141846,0.0,49.49370357674675,higher_score
enterprise projects,51046,0.6387325686942178,0.20406408624193276,0.43466848245228507,13564.70454319553,0.0,49.492935685461646,higher_score
certifications aws certified,51042,0.6386830596588188,0.20404755212377995,0.4346355075350388,13563.70938567017,0.0,49.49472855687622,higher_score
built scalable,51044,0.6386995626706184,0.20406408624193276,0.4346354764286857,13563.17599260412,0.0,49.49388674477069,higher_score
scrum master,51117,0.6394421982016038,0.2045270415502113,0.43491515665139246,13561.242477495383,0.0,49.48277314787793,higher_score
multiple enterprise,51038,0.6386170476116201,0.20404755212377995,0.43456949548784013,13560.652316161017,0.0,49.49410840942191,higher_score
aws certified solutions,51046,0.6386830596588188,0.20411368859639117,0.4345693710624276,13558.519307779316,0.0,49.49222573757151,higher_score
certified solutions architect,51046,0.6386830596588188,0.20411368859639117,0.4345693710624276,13558.519307779316,0.0,49.49222573757151,higher_score
certified solutions,51054,0.6387490717060175,0.2041798250690024,0.43456924663701507,13556.386967871134,0.0,49.490746366593704,higher_score
certifications aws,51048,0.6386830596588188,0.20414675683269679,0.434536302826122,13555.924809361471,0.0,49.49210292274086,higher_score
award best,51082,0.6389306048358139,0.2044609050776001,0.4344696997582138,13542.749578973286,0.0,49.48426353705952,higher_score
excellence award,51100,0.6391121379656103,0.20457664390466973,0.43453549406094055,13542.079720929127,0.0,49.47943346379795,higher_score
years professional,51144,0.6393761861544051,0.2050395992129483,0.43433658694145677,13518.045074140133,0.0,49.47017577819639,higher_score
projects developed,51120,0.6390791319420109,0.20494039450403145,0.4341387374379795,13512.07308755517,0.0,49.46982012910944,higher_score
work experience,51604,0.6419836620187535,0.21003290289509557,0.4319507591236579,13250.762490007373,0.0,49.34419793039454,higher_score
solutions architect,51523,0.6407789421573773,0.20990062994987313,0.43087831220750417,13205.774599797187,0.0,49.335554606682024,higher_score
cloud native,18404,0.267893390543757,0.0358955705097471,0.2319978200340099,10717.94037218736,0.0,54.3433272658121,higher_score
enterprise solutions driving,17656,0.2582886376763471,0.03315090689638137,0.2251377307799657,10521.072219042035,0.0,54.56275062301795,higher_score
delivering scalable enterprise,17660,0.2583216436999464,0.033183975132686984,0.22513766856725945,10518.683376931775,0.0,54.559556908267545,higher_score
scalable enterprise solutions,17668,0.25835464972354577,0.03328317984160382,0.22507146988194196,10507.738515845267,0.0,54.54970228662016,higher_score
enterprise solutions,17696,0.25860219490054087,0.03349812337759029,0.2251040715229506,10494.151846272678,0.0,54.52899977396049,higher_score
scalable enterprise,17748,0.2590147701955327,0.03394454456771604,0.22507022562781667,10460.2587024917,0.0,54.47159003831445,higher_score
years expertise delivering,17674,0.2502681739417058,0.04148410244539539,0.20878407149631042,9038.90095111994,0.0,52.90921608011815,higher_score
years expertise,18254,0.2561597491541892,0.045171210793471035,0.21098853836071818,8937.48722240894,0.0,52.58641777144791,higher_score
xyz university,61535,0.7006518689665924,0.31545444023749386,0.3851974287290985,8836.907458598798,0.0,46.963643942472565,higher_score
exposure includes,48118,0.2274280056109958,0.567732015013425,-0.34030400940242916,8820.278882941437,0.0,32.86548900619334,lower_score
expertise delivering,17923,0.25074676128389634,0.04512160843901262,0.20562515284488372,8645.647499076433,0.0,52.58433549071076,higher_score
professional years,15642,0.034672827791070476,0.22388849390714666,-0.18921566611607618,8388.371449895676,0.0,28.294082598134597,lower_score
education bachelor technology,62919,0.7092004290788232,0.32977298655784754,0.37942744252097566,8385.547406974933,0.0,46.75506492474533,higher_score
bachelor technology,63007,0.7097780344918118,0.3306492948199477,0.37912873967186406,8360.656210370442,0.0,46.74124248099499,higher_score
operational efficiency,23610,0.3105536760459127,0.07923149418825055,0.23132218185766218,8306.045883941224,0.0,50.39746653960286,higher_score
professional summary experienced,18815,0.25787606238135524,0.05272730278930319,0.20514875959205206,8197.649038853673,0.0,51.91912888652724,higher_score
collaborated multidisciplinary teams,18004,0.24584536677940033,0.05137150510077313,0.1944738616786272,7698.555144604954,0.0,51.7984422906027,higher_score
multidisciplinary teams achieve,18000,0.2457958577440014,0.051354970982620325,0.19444088676138108,7697.6548474415595,0.0,51.800220555556166,higher_score
multidisciplinary teams,18016,0.2459443848501982,0.051470709809689964,0.19447367504050825,7693.412565683419,0.0,51.789570936945545,higher_score
teams achieve strategic,18004,0.24581236075580104,0.05140457333707874,0.1944077874187223,7693.324725304119,0.0,51.796374972229,higher_score
collaborated multidisciplinary,18008,0.24584536677940033,0.05143764157338435,0.19440772520601599,7691.61093427579,0.0,51.79326826965854,higher_score
teams achieve,18054,0.24624143906259183,0.051801392172746076,0.19444004688984576,7674.564654837395,0.0,51.766146006425785,higher_score
demonstrate strong,40148,0.18843138872843315,0.47502521453048846,-0.2865938258020553,7497.655773366854,0.0,32.79332233237112,lower_score
key technical,39658,0.1877217592210484,0.46763446371617196,-0.27991270449512357,7240.526800140696,0.0,32.85354644712383,lower_score
key technical exposure,39658,0.1877217592210484,0.46763446371617196,-0.27991270449512357,7240.526800140696,0.0,32.85354644712383,lower_score
technical exposure,39658,0.1877217592210484,0.46763446371617196,-0.27991270449512357,7240.526800140696,0.0,32.85354644712383,lower_score
technical exposure includes,39658,0.1877217592210484,0.46763446371617196,-0.27991270449512357,7240.526800140696,0.0,32.85354644712383,lower_score
implemented best practices,18211,0.24432708969383293,0.056315206428462,0.18801188326537094,7113.65105493604,0.0,51.189889901708575,higher_score
practices project management,18211,0.24432708969383293,0.056315206428462,0.18801188326537094,7113.65105493604,0.0,51.188469331723404,higher_score
management software delivery,18207,0.244277580658434,0.056298672310309196,0.1879789083481248,7112.7182746336775,0.0,51.19053935299691,higher_score
practices project,18223,0.24444261077643045,0.05639787701922603,0.18804473375720443,7111.451109569051,0.0,51.18077896065495,higher_score
best practices project,18219,0.24439310174103152,0.056381342901073224,0.1880117588399583,7110.518024845458,0.0,51.18240545584363,higher_score
software delivery,18227,0.24447561680002974,0.05643094525553164,0.1880446715444981,7109.885764047427,0.0,51.185353321995684,higher_score
implemented best,18215,0.24434359270563258,0.05636480878292042,0.18797878392271217,7109.58496785878,0.0,51.18561817183721,higher_score
project management software,18225,0.24437659872923187,0.05649708172814286,0.187879517001089,7098.181272504149,0.0,51.17260493827242,higher_score
developed technical solutions,18003,0.24186814093568573,0.05533969345744647,0.18652844747823927,7082.735482018055,0.0,51.16251235905204,higher_score
requirements developed technical,18003,0.24186814093568573,0.05533969345744647,0.18652844747823927,7082.735482018055,0.0,51.16251235905204,higher_score
business requirements developed,18007,0.24190114695928502,0.05537276169375208,0.18652838526553295,7081.157429100529,0.0,51.16013550286076,higher_score
analyzed business requirements,18009,0.24188464394748538,0.0554223640482105,0.18646227989927489,7075.353371610103,0.0,51.15727303015237,higher_score
conception delivery,18223,0.24416205957583648,0.056678957027823725,0.18748310254801276,7069.035154937845,0.0,51.13026395214923,higher_score
initiatives conception delivery,18223,0.24416205957583648,0.056678957027823725,0.18748310254801276,7069.035154937845,0.0,51.13026395214923,higher_score
led project initiatives,18223,0.24416205957583648,0.056678957027823725,0.18748310254801276,7069.035154937845,0.0,51.13026395214923,higher_score
project initiatives conception,18223,0.24416205957583648,0.056678957027823725,0.18748310254801276,7069.035154937845,0.0,51.13026395214923,higher_score
developed technical,18029,0.2420331710536822,0.05560423934789136,0.18642893170579083,7064.976737312601,0.0,51.14266404126762,higher_score
initiatives conception,18227,0.24416205957583648,0.05674509350043495,0.18741696607540154,7062.49845557686,0.0,51.12513688484202,higher_score
requirements developed,18099,0.24269329152566801,0.05610026289247553,0.1865930286331925,7050.04681329008,0.0,51.10069589480164,higher_score
documented technical,18044,0.24208268008908113,0.05580264876572503,0.1862800313233561,7047.831934937414,0.0,50.98497228995855,higher_score
documented technical specifications,18044,0.24208268008908113,0.05580264876572503,0.1862800313233561,7047.831934937414,0.0,50.98497228995855,higher_score
manuals internal,18040,0.2420331710536822,0.05578611464757222,0.18624705640610997,7046.899128631527,0.0,50.986981707317746,higher_score
manuals internal teams,18040,0.2420331710536822,0.05578611464757222,0.18624705640610997,7046.899128631527,0.0,50.986981707317746,higher_score
specifications user manuals,18040,0.2420331710536822,0.05578611464757222,0.18624705640610997,7046.899128631527,0.0,50.986981707317746,higher_score
technical specifications user,18040,0.2420331710536822,0.05578611464757222,0.18624705640610997,7046.899128631527,0.0,50.986981707317746,higher_score
user manuals internal,18040,0.2420331710536822,0.05578611464757222,0.18624705640610997,7046.899128631527,0.0,50.986981707317746,higher_score
analyzed business,18047,0.24208268008908113,0.055852251120183445,0.1862304289688977,7042.908107717985,0.0,51.127970299773615,higher_score
specifications user,18044,0.2420331710536822,0.055852251120183445,0.18618091993349875,7040.334248925269,0.0,50.98161937486213,higher_score
led project,18277,0.2444591137882301,0.057274185281324726,0.18718492850690538,7025.748462082434,0.0,51.08265032554662,higher_score
technical solutions,18097,0.24247875237227262,0.05628213819215639,0.18619661418011624,7020.899001284036,0.0,51.08972205337981,higher_score
identified mitigated technical,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
mitigated technical,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
mitigated technical risks,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
risks multiple,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
risks multiple platforms,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
technical risks,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
technical risks multiple,18126,0.24274280056106695,0.05649708172814286,0.1862457188329241,7013.363914869718,0.0,51.02965794990732,higher_score
project initiatives,18273,0.24432708969383293,0.05734032175393595,0.186986767939897,7012.415622979994,0.0,51.08040278005886,higher_score
identified mitigated,18138,0.24277580658466624,0.05666242290967092,0.18611338367499533,6998.767483985079,0.0,51.01694867129894,higher_score
internal teams,18138,0.24269329152566801,0.05674509350043495,0.18594819802523307,6986.349431259878,0.0,50.90736520013301,higher_score
multiple platforms,18172,0.24300684874986128,0.05699310527272703,0.18601374347713426,6978.194829958604,0.0,50.99097870350099,higher_score
expectations provided,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
expectations provided regular,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
managed stakeholder,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
managed stakeholder expectations,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
provided regular project,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
regular project updates,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
stakeholder expectations provided,17907,0.24013532469672294,0.05548850052082172,0.18464682417590123,6977.7692619635745,0.0,51.15732143854446,higher_score
provided regular,17923,0.24028385180291975,0.05560423934789136,0.1846796124550284,6974.016287223847,0.0,51.14602689282015,higher_score
presented technical findings,18051,0.24165360178229034,0.05634827466476761,0.18530532711752273,6971.5652396057885,0.0,51.172236164202225,higher_score
technical findings,18051,0.24165360178229034,0.05634827466476761,0.18530532711752273,6971.5652396057885,0.0,51.172236164202225,higher_score
technical findings recommendations,18051,0.24165360178229034,0.05634827466476761,0.18530532711752273,6971.5652396057885,0.0,51.172236164202225,higher_score
regular project,17911,0.24013532469672294,0.055554636993432945,0.18458068770329,6971.214382762128,0.0,51.15137736586543,higher_score
stakeholder expectations,17915,0.24015182770852259,0.05560423934789136,0.18454758836063123,6967.158474644306,0.0,51.14766396874215,higher_score
findings recommendations senior,18055,0.24165360178229034,0.056414411137378835,0.1852391906449115,6965.046333974458,0.0,51.166552201607,higher_score
project updates,17923,0.24021783975572117,0.055670375820502584,0.1845474639352186,6964.039266077603,0.0,51.142447134967114,higher_score
technical specifications,18172,0.24289132766726376,0.05710884409979667,0.1857824835674671,6960.854460164435,0.0,50.883780541493074,higher_score
user manuals,18282,0.24407954451683825,0.05773714058960328,0.18634240392723497,6960.740384312161,0.0,50.825879553660016,higher_score
presented technical,18083,0.24188464394748538,0.05664588879151811,0.18523875515596727,6954.228849035409,0.0,51.151199192612644,higher_score
efficiency process automation,18110,0.24216519514807935,0.05681122997304617,0.1853539651750332,6952.501078389541,0.0,51.08067366096174,higher_score
improved operational efficiency,18110,0.24216519514807935,0.05681122997304617,0.1853539651750332,6952.501078389541,0.0,51.08067366096174,higher_score
process automation optimization,18110,0.24216519514807935,0.05681122997304617,0.1853539651750332,6952.501078389541,0.0,51.08067366096174,higher_score
recommendations senior management,18071,0.24171961382948892,0.0566128205552125,0.18510679327427643,6948.935518951659,0.0,51.14819904819957,higher_score
mentored team members,18152,0.24259427345487014,0.05707577586349106,0.1855184975913791,6948.7343230756005,0.0,50.967999118555255,higher_score
management software,18447,0.24577935473220175,0.05876225591507723,0.18701709881712453,6948.525191116951,0.0,50.98658616577306,higher_score
operational efficiency process,18114,0.242181698159879,0.056860832327504586,0.18532086583237442,6948.483503915977,0.0,51.076487523463456,higher_score
culture continuous learning,18138,0.24242924333687368,0.057009639390879836,0.18541960394599385,6946.685761182492,0.0,50.972972488698595,higher_score
members promoted,18138,0.24242924333687368,0.057009639390879836,0.18541960394599385,6946.685761182492,0.0,50.972972488698595,higher_score
members promoted culture,18138,0.24242924333687368,0.057009639390879836,0.18541960394599385,6946.685761182492,0.0,50.972972488698595,higher_score
promoted culture continuous,18138,0.24242924333687368,0.057009639390879836,0.18541960394599385,6946.685761182492,0.0,50.972972488698595,higher_score
team members promoted,18138,0.24242924333687368,0.057009639390879836,0.18541960394599385,6946.685761182492,0.0,50.972972488698595,higher_score
improved operational,18130,0.24231372225427616,0.05699310527272703,0.18532061698154914,6942.332717313939,0.0,51.068574462218244,higher_score
recommendations senior,18083,0.24180212888848715,0.05672855938228214,0.18507356950620502,6941.8315877898185,0.0,51.13749820273264,higher_score
promoted culture,18142,0.24242924333687368,0.05707577586349106,0.18535346747338263,6940.200548962486,0.0,50.9679914011694,higher_score
findings recommendations,18083,0.2417856258766875,0.05674509350043495,0.18504053237625256,6939.353462755282,0.0,51.138761820495176,higher_score
culture continuous,18152,0.24252826140767156,0.05714191233610228,0.18538634907156928,6938.838405223117,0.0,50.96450611502948,higher_score
mentored team,18176,0.24274280056106695,0.05732378763578314,0.18541901292528382,6932.11834836509,0.0,50.95127475792336,higher_score
efficiency process,18136,0.24229721924247652,0.05710884409979667,0.18518837514267986,6930.134895451292,0.0,51.05693206881435,higher_score
